IncidentID,CreatedAt,DateKey,Hour,DistrictKey,CategoryKey,Subcategory,ChannelKey,TeamKey,Priority,Status,AssignedAt,ResolvedAt,ResponseHours,ResolutionHours,SLATargetHours,SLAMet,IsRepeat,RepeatGroupID,WasReopened,SatisfactionScore,Latitude,Longitude,DataClass
SYN-000020,2025-10-05 04:52:00,20251005,4,1,2,Pothole,2,11,Medium,Resolved,2025-10-05 04:59:03,2025-10-07 11:47:16,0.33,54.92,72,True,False,1020,False,5.0,24.456849,39.604026,Synthetic
SYN-000021,2025-10-05 05:16:00,20251005,5,12,2,Drainage issue,2,12,Medium,Resolved,2025-10-05 05:20:43,2025-10-08 14:59:55,0.22,81.73,72,False,False,1021,False,3.0,24.444591,39.579533,Synthetic
SYN-000022,2025-10-05 05:18:00,20251005,5,4,5,Public amenity issue,3,29,Critical,Resolved,2025-10-05 05:32:54,2025-10-06 21:24:21,0.69,40.11,40,False,False,1022,False,5.0,24.424608,39.556448,Synthetic
SYN-000023,2025-10-05 05:32:00,20251005,5,11,4,Sidewalk obstruction,1,23,Medium,Resolved,2025-10-05 05:41:58,2025-10-05 20:37:01,0.46,15.08,24,True,False,1023,False,5.0,24.518536,39.586175,Synthetic
SYN-000024,2025-10-05 05:50:00,20251005,5,4,2,Drainage issue,3,12,Low,Resolved,2025-10-05 06:00:28,2025-10-10 12:11:09,0.49,126.35,85,False,False,1024,False,3.0,24.423529,39.55973,Synthetic
SYN-000025,2025-10-05 06:13:00,20251005,6,5,1,Missed collection,4,5,Medium,Resolved,2025-10-05 06:49:45,2025-10-05 20:15:29,1.7,14.04,24,True,False,1025,False,,24.459576,39.538974,Synthetic
SYN-000026,2025-10-05 06:14:00,20251005,6,4,1,Overflowing container,2,5,Medium,Resolved,2025-10-05 06:44:39,2025-10-05 23:15:50,1.42,17.03,24,True,False,1026,False,4.0,24.418161,39.541009,Synthetic
SYN-000027,2025-10-05 07:14:00,20251005,7,6,1,Overflowing container,6,1,Medium,Resolved,2025-10-05 07:37:16,2025-10-05 23:14:25,1.08,16.01,24,True,False,1027,False,5.0,24.520684,39.612731,Synthetic
SYN-000028,2025-10-05 08:02:00,20251005,8,3,4,Sidewalk obstruction,6,20,Medium,Resolved,2025-10-05 08:26:53,2025-10-06 21:06:37,1.15,37.08,24,False,False,1028,False,3.0,24.459209,39.631765,Synthetic
SYN-000029,2025-10-05 08:20:00,20251005,8,1,5,Public amenity issue,1,26,Medium,Resolved,2025-10-05 08:34:18,2025-10-08 17:05:38,0.66,80.76,72,False,False,1029,False,,24.468424,39.617381,Synthetic
SYN-000030,2025-10-05 08:32:00,20251005,8,12,1,Street cleanliness,4,2,Low,Resolved,2025-10-05 08:55:11,2025-10-06 09:36:56,1.07,25.08,28,True,False,1030,False,,24.432846,39.563206,Synthetic
SYN-000031,2025-10-05 08:36:00,20251005,8,1,4,Sidewalk obstruction,2,20,Low,Resolved,2025-10-05 08:47:26,2025-10-06 09:22:18,0.53,24.77,28,True,False,1031,False,,24.472575,39.606805,Synthetic
SYN-000032,2025-10-05 08:46:00,20251005,8,10,4,Sidewalk obstruction,2,19,Medium,Resolved,2025-10-05 08:57:45,2025-10-06 09:02:21,0.54,24.27,24,False,False,1032,False,,24.486768,39.58373,Synthetic
SYN-000033,2025-10-05 08:53:00,20251005,8,12,1,Missed collection,7,2,High,Resolved,2025-10-05 09:25:27,2025-10-05 18:26:02,1.5,9.55,17,True,False,1033,False,5.0,24.443324,39.553689,Synthetic
SYN-000034,2025-10-05 09:09:00,20251005,9,8,1,Waste accumulation,1,1,Low,Resolved,2025-10-05 09:29:29,2025-10-05 23:17:37,0.95,14.14,28,True,False,1034,False,,24.493561,39.64116,Synthetic
SYN-000035,2025-10-05 09:16:00,20251005,9,1,5,Public amenity issue,1,26,Low,Resolved,2025-10-05 09:34:40,2025-10-08 05:22:54,0.86,68.12,85,True,False,1035,False,5.0,24.471508,39.615831,Synthetic
SYN-000036,2025-10-05 09:31:00,20251005,9,11,3,Tree maintenance,3,13,Low,Resolved,2025-10-05 09:41:59,2025-10-07 08:42:41,0.51,47.19,57,True,False,1036,False,,24.507934,39.577467,Synthetic
SYN-000037,2025-10-05 09:35:00,20251005,9,7,1,Street cleanliness,3,1,Medium,Resolved,2025-10-05 09:42:28,2025-10-05 23:52:50,0.35,14.3,24,True,False,1037,False,5.0,24.501066,39.639437,Synthetic
SYN-000038,2025-10-05 09:38:00,20251005,9,11,5,Public amenity issue,5,25,Low,Resolved,2025-10-05 09:43:55,2025-10-08 00:00:08,0.27,62.37,85,True,False,1038,False,5.0,24.500119,39.595315,Synthetic
SYN-000039,2025-10-05 09:39:00,20251005,9,1,5,Facility damage,1,25,High,Resolved,2025-10-05 09:44:51,2025-10-07 01:46:30,0.27,40.13,52,True,False,1039,False,,24.468781,39.60742,Synthetic
SYN-000040,2025-10-05 09:45:00,20251005,9,4,2,Pothole,4,7,Low,Resolved,2025-10-05 09:53:18,2025-10-09 06:24:35,0.38,92.66,85,False,False,1040,False,,24.427169,39.553596,Synthetic
SYN-000041,2025-10-05 10:17:00,20251005,10,8,4,Sidewalk obstruction,1,20,Low,Resolved,2025-10-05 10:42:59,2025-10-06 14:23:23,1.2,28.11,28,False,False,1041,False,4.0,24.486508,39.656487,Synthetic
SYN-000042,2025-10-05 10:23:00,20251005,10,7,5,Facility damage,1,25,Medium,Resolved,2025-10-05 10:45:20,2025-10-07 12:29:22,1.03,50.11,72,True,False,1042,False,,24.501717,39.664557,Synthetic
SYN-000043,2025-10-05 10:26:00,20251005,10,9,7,Construction debris,1,38,Medium,Resolved,2025-10-05 10:43:36,2025-10-07 17:08:21,0.82,54.71,96,True,False,1043,False,4.0,24.456741,39.65382,Synthetic
SYN-000044,2025-10-05 10:27:00,20251005,10,11,3,Park cleanliness,1,14,Medium,Resolved,2025-10-05 10:51:59,2025-10-06 16:19:35,1.16,29.88,48,True,False,1044,False,4.0,24.500802,39.610404,Synthetic
SYN-000045,2025-10-05 10:41:00,20251005,10,3,5,Unsafe structure,1,26,Low,Resolved,2025-10-05 10:52:23,2025-10-07 16:52:26,0.53,54.19,85,True,False,1045,False,,24.462814,39.634349,Synthetic
SYN-000046,2025-10-05 10:45:00,20251005,10,3,6,Exposed cable,4,32,Low,Resolved,2025-10-05 10:54:09,2025-10-06 05:38:56,0.42,18.9,28,True,False,1046,False,3.0,24.446991,39.638175,Synthetic
SYN-000047,2025-10-05 10:46:00,20251005,10,6,1,Overflowing container,3,2,Medium,Resolved,2025-10-05 10:57:18,2025-10-06 01:14:01,0.52,14.47,24,True,False,1047,False,4.0,24.511119,39.608714,Synthetic
SYN-000048,2025-10-05 10:53:00,20251005,10,1,1,Street cleanliness,1,1,Medium,Resolved,2025-10-05 11:09:04,2025-10-05 23:38:51,0.74,12.76,24,True,False,1048,False,,24.463956,39.606536,Synthetic
SYN-000049,2025-10-05 10:54:00,20251005,10,3,2,Drainage issue,1,8,Critical,Resolved,2025-10-05 11:04:35,2025-10-07 03:50:40,0.49,40.94,40,False,False,1049,False,4.0,24.465226,39.65015,Synthetic
SYN-000050,2025-10-05 10:58:00,20251005,10,7,5,Facility damage,1,26,Medium,Resolved,2025-10-05 11:45:36,2025-10-09 05:24:22,2.2,90.44,72,False,False,1050,False,,24.495708,39.64832,Synthetic
SYN-000051,2025-10-05 11:08:00,20251005,11,12,1,Overflowing container,1,2,Medium,Resolved,2025-10-05 11:20:40,2025-10-06 08:47:38,0.59,21.66,24,True,False,1051,False,3.0,24.426962,39.585385,Synthetic
SYN-000052,2025-10-05 11:10:00,20251005,11,9,4,Signage issue,4,19,Medium,Resolved,2025-10-05 11:21:53,2025-10-06 07:51:03,0.55,20.68,24,True,False,1052,False,4.0,24.433437,39.6368,Synthetic
SYN-000053,2025-10-05 11:17:00,20251005,11,6,1,Street cleanliness,2,2,Medium,Resolved,2025-10-05 11:36:04,2025-10-06 00:54:38,0.88,13.63,24,True,False,1053,False,,24.490935,39.614453,Synthetic
SYN-000054,2025-10-05 11:33:00,20251005,11,5,2,Drainage issue,1,8,Medium,Resolved,2025-10-05 11:45:44,2025-10-07 12:45:33,0.59,49.21,72,True,False,1054,False,5.0,24.444588,39.549066,Synthetic
SYN-000055,2025-10-05 11:44:00,20251005,11,9,2,Damaged pavement,3,8,Low,Resolved,2025-10-05 11:56:01,2025-10-08 09:24:04,0.56,69.67,85,True,False,1055,False,5.0,24.439598,39.648632,Synthetic
SYN-000056,2025-10-05 12:10:00,20251005,12,8,2,Pothole,5,8,High,Resolved,2025-10-05 12:20:41,2025-10-08 05:32:06,0.5,65.37,52,False,False,1056,False,5.0,24.489954,39.658858,Synthetic
SYN-000057,2025-10-05 12:14:00,20251005,12,4,3,Park cleanliness,3,14,Medium,Resolved,2025-10-05 12:45:57,2025-10-07 09:43:00,1.48,45.48,48,True,False,1057,False,,24.421452,39.539755,Synthetic
SYN-000058,2025-10-05 12:19:00,20251005,12,6,7,Abandoned equipment,4,38,Medium,Resolved,2025-10-05 12:31:50,2025-10-11 10:10:31,0.59,141.86,96,False,False,1058,False,4.0,24.506872,39.618295,Synthetic
SYN-000059,2025-10-05 12:19:00,20251005,12,3,7,Vacant land waste,1,37,Medium,Resolved,2025-10-05 12:40:06,2025-10-08 13:53:52,0.98,73.58,96,True,False,1059,False,5.0,24.465524,39.641403,Synthetic
SYN-000060,2025-10-05 12:49:00,20251005,12,1,3,Damaged landscaping,3,13,Medium,Resolved,2025-10-05 13:00:02,2025-10-07 12:44:46,0.51,47.93,48,True,False,1060,False,3.0,24.461026,39.624587,Synthetic
SYN-000061,2025-10-05 13:01:00,20251005,13,2,1,Street cleanliness,2,1,Medium,Resolved,2025-10-05 13:16:22,2025-10-07 11:32:22,0.71,46.52,24,False,False,1061,False,4.0,24.44489,39.608738,Synthetic
SYN-000062,2025-10-05 13:04:00,20251005,13,8,5,Accessibility issue,3,26,Low,Resolved,2025-10-05 13:24:50,2025-10-07 05:26:53,0.96,40.38,85,True,False,1062,False,4.0,24.483297,39.648341,Synthetic
SYN-000063,2025-10-05 13:17:00,20251005,13,9,6,Streetlight outage,2,31,Medium,Resolved,2025-10-05 13:37:55,2025-10-06 07:12:26,0.97,17.92,24,True,False,1063,False,5.0,24.444938,39.645486,Synthetic
SYN-000064,2025-10-05 13:22:00,20251005,13,11,7,Fence issue,4,38,Critical,Resolved,2025-10-05 13:33:08,2025-10-07 19:04:21,0.52,53.71,53,False,False,1064,False,,24.501442,39.579939,Synthetic
SYN-000065,2025-10-05 13:42:00,20251005,13,6,3,Park cleanliness,4,14,High,Resolved,2025-10-05 13:53:10,2025-10-06 04:57:52,0.52,15.26,35,True,False,1065,False,,24.501223,39.622021,Synthetic
SYN-000066,2025-10-05 13:43:00,20251005,13,11,5,Facility damage,3,26,Low,Resolved,2025-10-05 13:58:59,2025-10-08 06:37:56,0.74,64.92,85,True,False,1066,False,,24.510331,39.581542,Synthetic
SYN-000067,2025-10-05 13:51:00,20251005,13,4,2,Pothole,6,8,Medium,Resolved,2025-10-05 13:58:25,2025-10-07 10:24:27,0.34,44.56,72,True,False,1067,False,5.0,24.427054,39.544517,Synthetic
SYN-000068,2025-10-05 14:01:00,20251005,14,1,7,Fence issue,3,37,Medium,Resolved,2025-10-05 14:12:45,2025-10-09 18:08:50,0.54,100.13,96,False,False,1068,False,,24.470882,39.615151,Synthetic
SYN-000069,2025-10-05 14:03:00,20251005,14,1,5,Accessibility issue,3,25,Medium,Resolved,2025-10-05 14:11:22,2025-10-08 03:59:11,0.39,61.94,72,True,False,1069,False,4.0,24.466484,39.617177,Synthetic
SYN-000070,2025-10-05 14:16:00,20251005,14,10,1,Street cleanliness,2,1,Medium,Resolved,2025-10-05 14:34:52,2025-10-06 04:02:14,0.87,13.77,24,True,False,1070,False,,24.494316,39.571668,Synthetic
SYN-000071,2025-10-05 14:25:00,20251005,14,10,8,Unlicensed vendor,1,44,Medium,Resolved,2025-10-05 14:51:27,2025-10-05 22:47:27,1.22,8.37,12,True,False,1071,False,,24.50562,39.563567,Synthetic
SYN-000072,2025-10-05 14:30:00,20251005,14,11,8,Hygiene concern,2,44,Medium,Resolved,2025-10-05 14:48:34,2025-10-05 22:54:21,0.86,8.41,12,True,False,1072,False,5.0,24.496361,39.602929,Synthetic
SYN-000073,2025-10-05 14:32:00,20251005,14,1,3,Damaged landscaping,3,14,Medium,Resolved,2025-10-05 14:48:06,2025-10-06 16:44:36,0.75,26.21,48,True,False,1073,False,,24.46737,39.614162,Synthetic
SYN-000074,2025-10-05 14:34:00,20251005,14,3,6,Electrical cabinet,1,32,Low,Resolved,2025-10-05 15:04:05,2025-10-06 09:27:07,1.39,18.89,28,True,False,1074,False,,24.435814,39.639281,Synthetic
SYN-000075,2025-10-05 15:00:00,20251005,15,2,3,Irrigation leak,1,15,Low,Resolved,2025-10-05 15:12:41,2025-10-06 19:22:39,0.59,28.38,57,True,False,1075,False,4.0,24.445292,39.605821,Synthetic
SYN-000076,2025-10-05 15:16:00,20251005,15,9,1,Missed collection,2,4,Medium,Resolved,2025-10-05 15:47:31,2025-10-06 19:01:39,1.46,27.76,24,False,False,1076,False,,24.47285,39.627396,Synthetic
SYN-000077,2025-10-05 15:22:00,20251005,15,5,2,Pothole,2,10,Medium,Resolved,2025-10-05 15:34:22,2025-10-09 05:28:43,0.57,86.11,72,False,False,1077,False,3.0,24.434587,39.562899,Synthetic
SYN-000078,2025-10-05 15:23:00,20251005,15,3,1,Street cleanliness,1,4,Medium,Resolved,2025-10-05 15:32:28,2025-10-06 14:59:06,0.44,23.6,24,True,False,1078,False,,24.454568,39.642921,Synthetic
SYN-000079,2025-10-05 15:28:00,20251005,15,6,1,Street cleanliness,3,3,Low,Resolved,2025-10-05 15:48:43,2025-10-06 15:49:12,0.96,24.35,28,True,False,1079,False,,24.50614,39.597972,Synthetic
SYN-000080,2025-10-05 15:29:00,20251005,15,1,2,Road obstruction,1,9,Medium,Resolved,2025-10-05 15:46:02,2025-10-07 08:07:34,0.79,40.64,72,True,False,1080,False,3.0,24.46203,39.610474,Synthetic
SYN-000081,2025-10-05 15:31:00,20251005,15,7,2,Drainage issue,6,10,Low,Resolved,2025-10-05 15:43:57,2025-10-10 00:47:29,0.6,105.27,85,False,False,1081,False,,24.483565,39.639987,Synthetic
SYN-000082,2025-10-05 15:36:00,20251005,15,10,6,Exposed cable,7,33,High,Resolved,2025-10-05 15:48:53,2025-10-06 19:22:03,0.6,27.77,17,False,False,1082,False,,24.484067,39.595132,Synthetic
SYN-000083,2025-10-05 15:43:00,20251005,15,5,3,Tree maintenance,6,16,Low,Resolved,2025-10-05 15:57:37,2025-10-07 07:11:26,0.68,39.47,57,True,False,1083,False,5.0,24.441081,39.54071,Synthetic
SYN-000084,2025-10-05 15:45:00,20251005,15,8,7,Abandoned equipment,4,39,Medium,Resolved,2025-10-05 16:03:27,2025-10-08 23:08:31,0.85,79.39,96,True,False,1084,False,5.0,24.47202,39.644267,Synthetic
SYN-000085,2025-10-05 15:50:00,20251005,15,9,5,Unsafe structure,2,27,Low,Resolved,2025-10-05 15:57:33,2025-10-08 09:57:34,0.35,66.13,85,True,False,1085,False,4.0,24.467796,39.63849,Synthetic
SYN-000086,2025-10-05 16:05:00,20251005,16,2,1,Waste accumulation,5,3,Medium,Resolved,2025-10-05 16:27:49,2025-10-06 11:26:09,1.06,19.35,24,True,False,1086,False,5.0,24.448872,39.620297,Synthetic
SYN-000087,2025-10-05 16:08:00,20251005,16,2,3,Damaged landscaping,4,16,Low,Resolved,2025-10-05 16:17:15,2025-10-07 08:33:25,0.43,40.42,57,True,False,1087,False,5.0,24.457378,39.603035,Synthetic
SYN-000088,2025-10-05 16:12:00,20251005,16,10,1,Waste accumulation,4,3,Medium,Resolved,2025-10-05 16:34:40,2025-10-06 15:45:35,1.05,23.56,24,True,False,1088,False,4.0,24.502219,39.597349,Synthetic
SYN-000089,2025-10-05 16:17:00,20251005,16,7,8,Hygiene concern,4,45,Low,Resolved,2025-10-05 16:25:08,2025-10-06 12:18:51,0.38,20.03,14,False,False,1089,False,2.0,24.504174,39.644283,Synthetic
SYN-000090,2025-10-05 16:23:00,20251005,16,12,6,Electrical cabinet,1,33,Medium,Resolved,2025-10-05 16:44:08,2025-10-06 10:30:17,0.98,18.12,24,True,False,1090,False,,24.450013,39.565192,Synthetic
SYN-000091,2025-10-05 16:27:00,20251005,16,7,6,Exposed cable,2,33,Medium,Resolved,2025-10-05 16:36:17,2025-10-06 21:10:52,0.43,28.73,24,False,False,1091,False,,24.494185,39.629126,Synthetic
SYN-000092,2025-10-05 16:32:00,20251005,16,2,7,Fence issue,1,40,Medium,Resolved,2025-10-05 16:56:00,2025-10-07 20:15:55,1.11,51.73,96,True,False,1092,False,4.0,24.441245,39.578378,Synthetic
SYN-000093,2025-10-05 16:34:00,20251005,16,9,6,Streetlight outage,1,34,Medium,Resolved,2025-10-05 16:42:36,2025-10-07 11:47:43,0.4,43.23,24,False,False,1093,False,4.0,24.441972,39.649293,Synthetic
SYN-000094,2025-10-05 16:41:00,20251005,16,9,5,Accessibility issue,1,28,Medium,Resolved,2025-10-05 16:51:37,2025-10-07 23:27:41,0.49,54.78,72,True,False,1094,False,4.0,24.445839,39.63875,Synthetic
SYN-000095,2025-10-05 16:46:00,20251005,16,3,3,Irrigation leak,1,15,Low,Resolved,2025-10-05 16:51:07,2025-10-09 19:50:46,0.24,99.08,57,False,False,1095,False,,24.478693,39.641878,Synthetic
SYN-000096,2025-10-05 17:12:00,20251005,17,4,3,Damaged landscaping,1,15,Low,Resolved,2025-10-05 17:22:11,2025-10-07 00:03:52,0.47,30.86,57,True,False,1096,False,4.0,24.437311,39.542988,Synthetic
SYN-000097,2025-10-05 17:18:00,20251005,17,1,7,Construction debris,5,39,Medium,Resolved,2025-10-05 17:33:12,2025-10-08 11:11:40,0.7,65.89,96,True,False,1097,False,4.0,24.463946,39.609791,Synthetic
SYN-000098,2025-10-05 17:27:00,20251005,17,12,2,Drainage issue,2,10,High,Resolved,2025-10-05 17:55:56,2025-10-07 08:45:43,1.34,39.31,52,True,False,1098,False,4.0,24.440146,39.587567,Synthetic
SYN-000099,2025-10-05 17:32:00,20251005,17,9,5,Public amenity issue,1,27,Low,Resolved,2025-10-05 17:52:34,2025-10-08 12:00:44,0.95,66.48,85,True,False,1099,False,5.0,24.454335,39.63809,Synthetic
SYN-000100,2025-10-05 17:55:00,20251005,17,3,2,Damaged pavement,3,10,Low,Resolved,2025-10-05 18:12:09,2025-10-07 18:14:09,0.79,48.32,85,True,False,1100,False,5.0,24.445555,39.644321,Synthetic
SYN-000101,2025-10-05 17:58:00,20251005,17,1,1,Overflowing container,2,3,High,Resolved,2025-10-05 18:21:20,2025-10-06 08:03:46,1.08,14.1,17,True,False,1101,False,,24.474699,39.610255,Synthetic
SYN-000102,2025-10-05 18:12:00,20251005,18,1,3,Tree maintenance,6,16,Low,Resolved,2025-10-05 18:41:29,2025-10-08 03:08:08,1.37,56.94,57,True,False,1102,False,,24.471053,39.603031,Synthetic
SYN-000103,2025-10-05 18:20:00,20251005,18,10,2,Pothole,2,10,Critical,Resolved,2025-10-05 18:24:50,2025-10-07 12:48:33,0.22,42.48,40,False,False,1103,False,4.0,24.477281,39.607262,Synthetic
SYN-000104,2025-10-05 18:23:00,20251005,18,3,4,Sidewalk obstruction,1,21,Medium,Resolved,2025-10-05 18:36:20,2025-10-06 16:52:14,0.62,22.49,24,True,False,1104,False,,24.457442,39.649074,Synthetic
SYN-000105,2025-10-05 18:27:00,20251005,18,6,3,Tree maintenance,3,15,Medium,Resolved,2025-10-05 18:41:27,2025-10-06 18:58:18,0.67,24.52,48,True,False,1105,False,4.0,24.501314,39.609992,Synthetic
SYN-000106,2025-10-05 18:27:00,20251005,18,1,2,Damaged pavement,1,10,Medium,Resolved,2025-10-05 18:41:38,2025-10-09 14:18:29,0.68,91.86,72,False,False,1106,False,3.0,24.474615,39.607889,Synthetic
SYN-000107,2025-10-05 18:28:00,20251005,18,4,4,Outdoor display,3,22,Medium,Resolved,2025-10-05 18:34:48,2025-10-06 08:13:07,0.32,13.75,24,True,False,1107,False,,24.407571,39.547734,Synthetic
SYN-000108,2025-10-05 18:30:00,20251005,18,1,7,Fence issue,4,39,Medium,Resolved,2025-10-05 18:58:18,2025-10-09 18:05:29,1.31,95.59,96,True,False,1108,False,,24.478384,39.620892,Synthetic
SYN-000109,2025-10-05 18:39:00,20251005,18,5,6,Streetlight outage,5,33,Medium,Resolved,2025-10-05 18:48:30,2025-10-06 08:47:42,0.44,14.15,24,True,False,1109,False,4.0,24.470458,39.519995,Synthetic
SYN-000110,2025-10-05 18:42:00,20251005,18,9,1,Overflowing container,6,4,Medium,Resolved,2025-10-05 18:51:04,2025-10-06 09:42:30,0.42,15.01,24,True,False,1110,False,,24.441489,39.638149,Synthetic
SYN-000111,2025-10-05 19:00:00,20251005,19,4,8,Congestion,1,45,Medium,Resolved,2025-10-05 19:11:31,2025-10-06 03:01:54,0.53,8.03,12,True,False,1111,False,3.0,24.423556,39.558693,Synthetic
SYN-000112,2025-10-05 19:02:00,20251005,19,7,2,Damaged pavement,4,10,Low,Resolved,2025-10-05 19:12:50,2025-10-08 16:40:12,0.5,69.64,85,True,False,1112,False,,24.468973,39.645838,Synthetic
SYN-000113,2025-10-05 19:05:00,20251005,19,3,1,Missed collection,2,3,Medium,Resolved,2025-10-05 19:20:49,2025-10-06 08:23:38,0.73,13.31,24,True,False,1113,False,,24.45508,39.648267,Synthetic
SYN-000114,2025-10-05 19:05:00,20251005,19,3,8,Hygiene concern,3,46,Medium,Resolved,2025-10-05 19:28:29,2025-10-06 04:53:55,1.09,9.82,12,True,False,1114,False,3.0,24.445134,39.641443,Synthetic
SYN-000115,2025-10-05 19:07:00,20251005,19,3,3,Damaged landscaping,3,15,Medium,Resolved,2025-10-05 19:59:58,2025-10-07 06:10:45,2.45,35.06,48,True,False,1115,False,5.0,24.458004,39.632811,Synthetic
SYN-000116,2025-10-05 19:07:00,20251005,19,3,4,Sidewalk obstruction,5,22,High,Resolved,2025-10-05 19:16:48,2025-10-06 10:09:50,0.45,15.05,17,True,False,1116,False,4.0,24.44479,39.641022,Synthetic
SYN-000117,2025-10-05 19:14:00,20251005,19,1,1,Waste accumulation,1,3,Medium,Resolved,2025-10-05 19:18:07,2025-10-06 18:56:37,0.19,23.71,24,True,False,1117,False,5.0,24.463088,39.609746,Synthetic
SYN-000118,2025-10-05 19:18:00,20251005,19,5,3,Park cleanliness,3,16,Low,Resolved,2025-10-05 19:25:11,2025-10-06 23:27:28,0.33,28.16,57,True,False,1118,False,,24.463376,39.558127,Synthetic
SYN-000119,2025-10-05 19:19:00,20251005,19,11,2,Drainage issue,2,10,Medium,Resolved,2025-10-05 19:32:31,2025-10-08 20:33:46,0.63,73.25,72,False,False,1119,False,,24.513973,39.589903,Synthetic
SYN-000120,2025-10-05 19:24:00,20251005,19,2,3,Tree maintenance,2,16,Medium,Resolved,2025-10-05 19:29:50,2025-10-08 13:52:14,0.27,66.47,48,False,False,1120,False,,24.447041,39.628428,Synthetic
