Date,DateKey,Year,MonthNo,Month,YearMonth,DayName,DayOfWeek,IsWeekend,Season
2025-10-27 00:00:00,20251027,2025,10,Oct,2025-10,Monday,1,False,Regular
2025-10-28 00:00:00,20251028,2025,10,Oct,2025-10,Tuesday,2,False,Regular
2025-10-29 00:00:00,20251029,2025,10,Oct,2025-10,Wednesday,3,False,Regular
2025-10-30 00:00:00,20251030,2025,10,Oct,2025-10,Thursday,4,False,Regular
2025-10-31 00:00:00,20251031,2025,10,Oct,2025-10,Friday,5,True,Regular
2025-11-01 00:00:00,20251101,2025,11,Nov,2025-11,Saturday,6,True,Regular
2025-11-02 00:00:00,20251102,2025,11,Nov,2025-11,Sunday,7,False,Regular
2025-11-03 00:00:00,20251103,2025,11,Nov,2025-11,Monday,1,False,Regular
2025-11-04 00:00:00,20251104,2025,11,Nov,2025-11,Tuesday,2,False,Regular
2025-11-05 00:00:00,20251105,2025,11,Nov,2025-11,Wednesday,3,False,Regular
2025-11-06 00:00:00,20251106,2025,11,Nov,2025-11,Thursday,4,False,Regular
2025-11-07 00:00:00,20251107,2025,11,Nov,2025-11,Friday,5,True,Regular
2025-11-08 00:00:00,20251108,2025,11,Nov,2025-11,Saturday,6,True,Regular
2025-11-09 00:00:00,20251109,2025,11,Nov,2025-11,Sunday,7,False,Regular
2025-11-10 00:00:00,20251110,2025,11,Nov,2025-11,Monday,1,False,Regular
2025-11-11 00:00:00,20251111,2025,11,Nov,2025-11,Tuesday,2,False,Regular
2025-11-12 00:00:00,20251112,2025,11,Nov,2025-11,Wednesday,3,False,Regular
2025-11-13 00:00:00,20251113,2025,11,Nov,2025-11,Thursday,4,False,Regular
2025-11-14 00:00:00,20251114,2025,11,Nov,2025-11,Friday,5,True,Regular
2025-11-15 00:00:00,20251115,2025,11,Nov,2025-11,Saturday,6,True,Regular
2025-11-16 00:00:00,20251116,2025,11,Nov,2025-11,Sunday,7,False,Regular
2025-11-17 00:00:00,20251117,2025,11,Nov,2025-11,Monday,1,False,Regular
2025-11-18 00:00:00,20251118,2025,11,Nov,2025-11,Tuesday,2,False,Regular
2025-11-19 00:00:00,20251119,2025,11,Nov,2025-11,Wednesday,3,False,Regular
2025-11-20 00:00:00,20251120,2025,11,Nov,2025-11,Thursday,4,False,Regular
2025-11-21 00:00:00,20251121,2025,11,Nov,2025-11,Friday,5,True,Regular
2025-11-22 00:00:00,20251122,2025,11,Nov,2025-11,Saturday,6,True,Regular
2025-11-23 00:00:00,20251123,2025,11,Nov,2025-11,Sunday,7,False,Regular
2025-11-24 00:00:00,20251124,2025,11,Nov,2025-11,Monday,1,False,Regular
2025-11-25 00:00:00,20251125,2025,11,Nov,2025-11,Tuesday,2,False,Regular
2025-11-26 00:00:00,20251126,2025,11,Nov,2025-11,Wednesday,3,False,Regular
2025-11-27 00:00:00,20251127,2025,11,Nov,2025-11,Thursday,4,False,Regular
2025-11-28 00:00:00,20251128,2025,11,Nov,2025-11,Friday,5,True,Regular
2025-11-29 00:00:00,20251129,2025,11,Nov,2025-11,Saturday,6,True,Regular
2025-11-30 00:00:00,20251130,2025,11,Nov,2025-11,Sunday,7,False,Regular
2025-12-01 00:00:00,20251201,2025,12,Dec,2025-12,Monday,1,False,Regular
2025-12-02 00:00:00,20251202,2025,12,Dec,2025-12,Tuesday,2,False,Regular
2025-12-03 00:00:00,20251203,2025,12,Dec,2025-12,Wednesday,3,False,Regular
2025-12-04 00:00:00,20251204,2025,12,Dec,2025-12,Thursday,4,False,Regular
2025-12-05 00:00:00,20251205,2025,12,Dec,2025-12,Friday,5,True,Regular
2025-12-06 00:00:00,20251206,2025,12,Dec,2025-12,Saturday,6,True,Regular
2025-12-07 00:00:00,20251207,2025,12,Dec,2025-12,Sunday,7,False,Regular
2025-12-08 00:00:00,20251208,2025,12,Dec,2025-12,Monday,1,False,Regular
2025-12-09 00:00:00,20251209,2025,12,Dec,2025-12,Tuesday,2,False,Regular
2025-12-10 00:00:00,20251210,2025,12,Dec,2025-12,Wednesday,3,False,Regular
2025-12-11 00:00:00,20251211,2025,12,Dec,2025-12,Thursday,4,False,Regular
2025-12-12 00:00:00,20251212,2025,12,Dec,2025-12,Friday,5,True,Regular
2025-12-13 00:00:00,20251213,2025,12,Dec,2025-12,Saturday,6,True,Regular
2025-12-14 00:00:00,20251214,2025,12,Dec,2025-12,Sunday,7,False,Regular
2025-12-15 00:00:00,20251215,2025,12,Dec,2025-12,Monday,1,False,Regular
2025-12-16 00:00:00,20251216,2025,12,Dec,2025-12,Tuesday,2,False,Regular
2025-12-17 00:00:00,20251217,2025,12,Dec,2025-12,Wednesday,3,False,Regular
2025-12-18 00:00:00,20251218,2025,12,Dec,2025-12,Thursday,4,False,Winter Visit Peak
2025-12-19 00:00:00,20251219,2025,12,Dec,2025-12,Friday,5,True,Winter Visit Peak
2025-12-20 00:00:00,20251220,2025,12,Dec,2025-12,Saturday,6,True,Winter Visit Peak
2025-12-21 00:00:00,20251221,2025,12,Dec,2025-12,Sunday,7,False,Winter Visit Peak
2025-12-22 00:00:00,20251222,2025,12,Dec,2025-12,Monday,1,False,Winter Visit Peak
2025-12-23 00:00:00,20251223,2025,12,Dec,2025-12,Tuesday,2,False,Winter Visit Peak
2025-12-24 00:00:00,20251224,2025,12,Dec,2025-12,Wednesday,3,False,Winter Visit Peak
2025-12-25 00:00:00,20251225,2025,12,Dec,2025-12,Thursday,4,False,Winter Visit Peak
2025-12-26 00:00:00,20251226,2025,12,Dec,2025-12,Friday,5,True,Winter Visit Peak
2025-12-27 00:00:00,20251227,2025,12,Dec,2025-12,Saturday,6,True,Winter Visit Peak
2025-12-28 00:00:00,20251228,2025,12,Dec,2025-12,Sunday,7,False,Winter Visit Peak
2025-12-29 00:00:00,20251229,2025,12,Dec,2025-12,Monday,1,False,Winter Visit Peak
2025-12-30 00:00:00,20251230,2025,12,Dec,2025-12,Tuesday,2,False,Winter Visit Peak
2025-12-31 00:00:00,20251231,2025,12,Dec,2025-12,Wednesday,3,False,Winter Visit Peak
2026-01-01 00:00:00,20260101,2026,1,Jan,2026-01,Thursday,4,False,Winter Visit Peak
2026-01-02 00:00:00,20260102,2026,1,Jan,2026-01,Friday,5,True,Winter Visit Peak
2026-01-03 00:00:00,20260103,2026,1,Jan,2026-01,Saturday,6,True,Winter Visit Peak
2026-01-04 00:00:00,20260104,2026,1,Jan,2026-01,Sunday,7,False,Regular
2026-01-05 00:00:00,20260105,2026,1,Jan,2026-01,Monday,1,False,Regular
2026-01-06 00:00:00,20260106,2026,1,Jan,2026-01,Tuesday,2,False,Regular
2026-01-07 00:00:00,20260107,2026,1,Jan,2026-01,Wednesday,3,False,Regular
2026-01-08 00:00:00,20260108,2026,1,Jan,2026-01,Thursday,4,False,Regular
2026-01-09 00:00:00,20260109,2026,1,Jan,2026-01,Friday,5,True,Regular
2026-01-10 00:00:00,20260110,2026,1,Jan,2026-01,Saturday,6,True,Regular
2026-01-11 00:00:00,20260111,2026,1,Jan,2026-01,Sunday,7,False,Regular
2026-01-12 00:00:00,20260112,2026,1,Jan,2026-01,Monday,1,False,Regular
2026-01-13 00:00:00,20260113,2026,1,Jan,2026-01,Tuesday,2,False,Regular
2026-01-14 00:00:00,20260114,2026,1,Jan,2026-01,Wednesday,3,False,Regular
2026-01-15 00:00:00,20260115,2026,1,Jan,2026-01,Thursday,4,False,Regular
2026-01-16 00:00:00,20260116,2026,1,Jan,2026-01,Friday,5,True,Regular
2026-01-17 00:00:00,20260117,2026,1,Jan,2026-01,Saturday,6,True,Regular
2026-01-18 00:00:00,20260118,2026,1,Jan,2026-01,Sunday,7,False,Regular
2026-01-19 00:00:00,20260119,2026,1,Jan,2026-01,Monday,1,False,Regular
2026-01-20 00:00:00,20260120,2026,1,Jan,2026-01,Tuesday,2,False,Regular
2026-01-21 00:00:00,20260121,2026,1,Jan,2026-01,Wednesday,3,False,Regular
2026-01-22 00:00:00,20260122,2026,1,Jan,2026-01,Thursday,4,False,Regular
2026-01-23 00:00:00,20260123,2026,1,Jan,2026-01,Friday,5,True,Regular
2026-01-24 00:00:00,20260124,2026,1,Jan,2026-01,Saturday,6,True,Regular
2026-01-25 00:00:00,20260125,2026,1,Jan,2026-01,Sunday,7,False,Regular
2026-01-26 00:00:00,20260126,2026,1,Jan,2026-01,Monday,1,False,Regular
2026-01-27 00:00:00,20260127,2026,1,Jan,2026-01,Tuesday,2,False,Regular
2026-01-28 00:00:00,20260128,2026,1,Jan,2026-01,Wednesday,3,False,Regular
2026-01-29 00:00:00,20260129,2026,1,Jan,2026-01,Thursday,4,False,Regular
2026-01-30 00:00:00,20260130,2026,1,Jan,2026-01,Friday,5,True,Regular
2026-01-31 00:00:00,20260131,2026,1,Jan,2026-01,Saturday,6,True,Regular
2026-02-01 00:00:00,20260201,2026,2,Feb,2026-02,Sunday,7,False,Regular
2026-02-02 00:00:00,20260202,2026,2,Feb,2026-02,Monday,1,False,Regular
2026-02-03 00:00:00,20260203,2026,2,Feb,2026-02,Tuesday,2,False,Regular
2026-02-04 00:00:00,20260204,2026,2,Feb,2026-02,Wednesday,3,False,Regular
2026-02-05 00:00:00,20260205,2026,2,Feb,2026-02,Thursday,4,False,Regular
2026-02-06 00:00:00,20260206,2026,2,Feb,2026-02,Friday,5,True,Regular
2026-02-07 00:00:00,20260207,2026,2,Feb,2026-02,Saturday,6,True,Regular
2026-02-08 00:00:00,20260208,2026,2,Feb,2026-02,Sunday,7,False,Regular
2026-02-09 00:00:00,20260209,2026,2,Feb,2026-02,Monday,1,False,Regular
2026-02-10 00:00:00,20260210,2026,2,Feb,2026-02,Tuesday,2,False,Regular
2026-02-11 00:00:00,20260211,2026,2,Feb,2026-02,Wednesday,3,False,Regular
2026-02-12 00:00:00,20260212,2026,2,Feb,2026-02,Thursday,4,False,Regular
2026-02-13 00:00:00,20260213,2026,2,Feb,2026-02,Friday,5,True,Regular
2026-02-14 00:00:00,20260214,2026,2,Feb,2026-02,Saturday,6,True,Regular
2026-02-15 00:00:00,20260215,2026,2,Feb,2026-02,Sunday,7,False,Regular
2026-02-16 00:00:00,20260216,2026,2,Feb,2026-02,Monday,1,False,Regular
2026-02-17 00:00:00,20260217,2026,2,Feb,2026-02,Tuesday,2,False,Regular
2026-02-18 00:00:00,20260218,2026,2,Feb,2026-02,Wednesday,3,False,Ramadan Scenario
2026-02-19 00:00:00,20260219,2026,2,Feb,2026-02,Thursday,4,False,Ramadan Scenario
2026-02-20 00:00:00,20260220,2026,2,Feb,2026-02,Friday,5,True,Ramadan Scenario
2026-02-21 00:00:00,20260221,2026,2,Feb,2026-02,Saturday,6,True,Ramadan Scenario
2026-02-22 00:00:00,20260222,2026,2,Feb,2026-02,Sunday,7,False,Ramadan Scenario
2026-02-23 00:00:00,20260223,2026,2,Feb,2026-02,Monday,1,False,Ramadan Scenario
2026-02-24 00:00:00,20260224,2026,2,Feb,2026-02,Tuesday,2,False,Ramadan Scenario
2026-02-25 00:00:00,20260225,2026,2,Feb,2026-02,Wednesday,3,False,Ramadan Scenario
2026-02-26 00:00:00,20260226,2026,2,Feb,2026-02,Thursday,4,False,Ramadan Scenario
2026-02-27 00:00:00,20260227,2026,2,Feb,2026-02,Friday,5,True,Ramadan Scenario
2026-02-28 00:00:00,20260228,2026,2,Feb,2026-02,Saturday,6,True,Ramadan Scenario
2026-03-01 00:00:00,20260301,2026,3,Mar,2026-03,Sunday,7,False,Ramadan Scenario
2026-03-02 00:00:00,20260302,2026,3,Mar,2026-03,Monday,1,False,Ramadan Scenario
2026-03-03 00:00:00,20260303,2026,3,Mar,2026-03,Tuesday,2,False,Ramadan Scenario
2026-03-04 00:00:00,20260304,2026,3,Mar,2026-03,Wednesday,3,False,Ramadan Scenario
2026-03-05 00:00:00,20260305,2026,3,Mar,2026-03,Thursday,4,False,Ramadan Scenario
2026-03-06 00:00:00,20260306,2026,3,Mar,2026-03,Friday,5,True,Ramadan Scenario
2026-03-07 00:00:00,20260307,2026,3,Mar,2026-03,Saturday,6,True,Ramadan Scenario
2026-03-08 00:00:00,20260308,2026,3,Mar,2026-03,Sunday,7,False,Ramadan Scenario
2026-03-09 00:00:00,20260309,2026,3,Mar,2026-03,Monday,1,False,Ramadan Scenario
2026-03-10 00:00:00,20260310,2026,3,Mar,2026-03,Tuesday,2,False,Ramadan Scenario
2026-03-11 00:00:00,20260311,2026,3,Mar,2026-03,Wednesday,3,False,Ramadan Scenario
2026-03-12 00:00:00,20260312,2026,3,Mar,2026-03,Thursday,4,False,Ramadan Scenario
2026-03-13 00:00:00,20260313,2026,3,Mar,2026-03,Friday,5,True,Ramadan Scenario
2026-03-14 00:00:00,20260314,2026,3,Mar,2026-03,Saturday,6,True,Ramadan Scenario
2026-03-15 00:00:00,20260315,2026,3,Mar,2026-03,Sunday,7,False,Ramadan Scenario
2026-03-16 00:00:00,20260316,2026,3,Mar,2026-03,Monday,1,False,Ramadan Scenario
2026-03-17 00:00:00,20260317,2026,3,Mar,2026-03,Tuesday,2,False,Ramadan Scenario
2026-03-18 00:00:00,20260318,2026,3,Mar,2026-03,Wednesday,3,False,Ramadan Scenario
2026-03-19 00:00:00,20260319,2026,3,Mar,2026-03,Thursday,4,False,Ramadan Scenario
2026-03-20 00:00:00,20260320,2026,3,Mar,2026-03,Friday,5,True,Regular
2026-03-21 00:00:00,20260321,2026,3,Mar,2026-03,Saturday,6,True,Regular
2026-03-22 00:00:00,20260322,2026,3,Mar,2026-03,Sunday,7,False,Regular
2026-03-23 00:00:00,20260323,2026,3,Mar,2026-03,Monday,1,False,Regular
2026-03-24 00:00:00,20260324,2026,3,Mar,2026-03,Tuesday,2,False,Regular
2026-03-25 00:00:00,20260325,2026,3,Mar,2026-03,Wednesday,3,False,Regular
2026-03-26 00:00:00,20260326,2026,3,Mar,2026-03,Thursday,4,False,Regular
2026-03-27 00:00:00,20260327,2026,3,Mar,2026-03,Friday,5,True,Regular
2026-03-28 00:00:00,20260328,2026,3,Mar,2026-03,Saturday,6,True,Regular
2026-03-29 00:00:00,20260329,2026,3,Mar,2026-03,Sunday,7,False,Regular
2026-03-30 00:00:00,20260330,2026,3,Mar,2026-03,Monday,1,False,Regular
2026-03-31 00:00:00,20260331,2026,3,Mar,2026-03,Tuesday,2,False,Regular
2026-04-01 00:00:00,20260401,2026,4,Apr,2026-04,Wednesday,3,False,Regular
2026-04-02 00:00:00,20260402,2026,4,Apr,2026-04,Thursday,4,False,Regular
2026-04-03 00:00:00,20260403,2026,4,Apr,2026-04,Friday,5,True,Regular
2026-04-04 00:00:00,20260404,2026,4,Apr,2026-04,Saturday,6,True,Regular
2026-04-05 00:00:00,20260405,2026,4,Apr,2026-04,Sunday,7,False,Regular
